Chapter,Verse,Sloke,Commentary
1,1,"धृतराष्ट्र उवाच

धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः।

मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय।।1.1।।","ధృతరాష్ట్ర మహారాజు పుట్టుకతోనే గుడ్డి వాడే కాక ఆధ్యాత్మిక జ్ఞానం కూడా లోపించిన వాడు. తన పుత్ర వ్యామోహమే అతడిని ధర్మ పథం నుండి తప్పించి, న్యాయపరంగా పాండవులకు చెందిన రాజ్యాన్ని లాక్కునేటట్లు చేసింది. ఆయనకు తన తమ్ముని కుమారులే అయిన పాండు పుత్రులకు తను చేసిన అన్యాయం తెలుసు. తన అంతఃకరణలో తప్పు చేసిన భావన వలన అతడు యుద్ధం యొక్క ఫలితాన్ని గురించి ఆందోళన చెంది, కురుక్షేత్ర యుద్ధ భూమిలో ఏమి జరుగుతోందో అని సంజయుడిని అడిగాడు.  ఈ శ్లోకం లో ధృతరాష్ట్రుడు సంజయుడిని అడిగినది ఏమిటంటే, యుద్ధ భూమి లో చేరి వుండి, తన కొడుకులు మరియు పాండు రాజు కొడుకులు ఏమి చేసారు అని. ఇప్పుడు, యుద్ధ భూమి లో సమావేశమయినది స్పష్టంగా యుద్ధం కోసమే కదా, వారు సహజంగానే యుద్ధమే చేస్తారు. మరి ధృతరాష్ట్రుడికి, వారందరూ ఏమి చేసారని ప్రశ్న అడగాలని ఎందుకు అనిపించింది ?అతని సందేహాన్ని తను ఉపయోగించిన పదాల ద్వారా తెలుసుకోవచ్చు - ""ధర్మక్షేత్రే"" - ""ధర్మ భూమి యందు...."" కురుక్షేత్రం ఒక పవిత్రమైన ప్రదేశం.  ""శతపథ బ్రహ్మన్"" లో ""కురుక్షేత్రం దేవ యజనం"" అని చెప్పబడింది. ""కురుక్షేత్రం దేవతల యజ్ఞ స్థలం"". కాబట్టి అది ధర్మాన్ని వర్దిల్ల చేసిన ప్రాంతం. పవిత్ర భూమి అయిన కురుక్షేత్ర ప్రభావం వలన తన పుత్రులలో పాప పుణ్యాల వివక్ష పెరిగి తమ బందువులైన పాండవులని చంపటం తప్పని భావిస్తారని ధృతరాష్ట్రుడు భయపడ్డాడు. ఈ విధంగా ఆలోచించి, వారు శాంతి ఒప్పందం చేసుకోవచ్చు. ఆ సంభావ్యత ధృతరాష్ట్రుడికి తీవ్ర అసంతృప్తి కలిగించింది. తన కుమారులు సంధి కుదుర్చుకుంటే, పాండవులు ఎప్పటికైనా ఒక అవరోధంలా మిగిలి పోతారు కాబట్టి యుద్ధం జరగటమే మంచిది అని తలచాడు. కానీ యుద్ధ పరిణామాలు ఎలా ఉంటాయో అన్న సంశయంతో తన పుత్రుల ప్రారబ్ధం ఎలా ఉందో తెలుసుకోగోరాడు. అందుకే రెండు సైన్యాలు సన్నద్ధమైయున్న కురుక్షేత్ర యుద్ధ రంగ విశేషాలని సంజయుడిని అడిగాడు."
1,2,"सञ्जय उवाच

दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा।

आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्।।1.2।।","తన పుత్రులు ఎలాగైనా యుద్ధం మొదలు పెడతారనే ధ్రువీకరణ కోసం ధృతరాష్ట్రుడు ఎదురు చూస్తున్నాడు. ఇది అర్థం చేసుకున్న సంజయుడు, ఖచ్చితంగా యుద్ధం జరగబోతోందని, పాండవ సైన్యం యుద్ధానికి సిద్ధంగా సైనిక నిర్మాణంతో ఉందని చెప్పాడు. అంతేకాక దుర్యోధనుడు ఏమి చేస్తున్నాడనే దిశగా, సంభాషణ విషయాన్ని మరల్చాడు.   ధృతరాష్ట్రుని పెద్ద కొడుకు అయిన దుర్యోధనుడు చాల దుష్ట, క్రూర స్వభావం కలవాడు. ధృతరాష్ట్రుడు అంధుడు అవటం వలన, అతని తరఫున దుర్యోధనుడు హస్తినాపుర రాజ్యాన్ని తనే పరిపాలించాడు. అతను పాండవ ద్వేషి. ఎలాగైనా పాండవులని అడ్డు తొలగించి రాజ్యాన్ని అడ్డులేకుండా పాలించాలని నిశ్చయించుకున్నాడు.  తన సైన్యాన్ని ఎదుర్కోగలిగిన సైన్యాన్ని పాండవులు సమీకరించుకోలేరు, అని  అనుకున్నాడు. కానీ దానికి విరుద్ధంగా జరిగింది. అపారమైన పాండవుల సైనిక సామర్ధ్యాన్ని చూచి వ్యాకులతతో ఆందోళన చెందాడు.   దుర్యోధనుడు తన యుద్ధ గురువు ద్రోణాచార్యుని కడకు వెళ్ళటం, యుద్ధ పరిణామం గురించి అతనికి వున్న భయాన్ని తెలియ పరుస్తోంది. నమస్కరించాలనే నెపంతో ద్రోణాచార్యుని దగ్గరకి వెళ్ళినా, అతని నిజమైన ఆంతర్యం తన ఆందోళనని ఉపశమనం చేసుకోవటమే. ఈ విధంగా దుర్యోధనుడు తదుపరి శ్లోకం తో మొదలిడి తొమ్మిది శ్లోకాలని పలికెను."
1,3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्।

व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता।।1.3।।","తన అస్త్రవిద్యా గురువు ద్రోణాచార్యుడికి గతంలో ఆయన చేసిన తప్పుని, యుక్తి తో ఎత్తి చూపాడు దుర్యోధనుడు. ద్రోణాచార్యుడికి గతంలో ద్రుపద మహారాజుతో రాజకీయ వైరం ఉండేది. వైరం తో ఆగ్రహం చెందిన ద్రుపదుడు ఒక యజ్ఞం చేసి, ద్రోణాచార్యుడిని సంహరించ గలిగే పుత్రుడు కలగాలనే వరం పొందాడు. ఆ వరం ఫలితంగా ద్రుపదునికి దృష్టద్యుమ్నుడు పుట్టాడు.   ద్రోణాచార్యుడికి దృష్టద్యుమ్నుడి జన్మ ప్రయోజనం తెలిసినా, తన వద్దకు సైనిక విద్యని అభ్యసించడానికి వచ్చినప్పుడు, పెద్ద మనసుతో, దృష్టద్యుమ్నుడికి తనకు తెలిసిన విద్యనంతా సంశయం లేకుండా బోధించాడు. కానీ ఇప్పుడు దృష్టద్యుమ్నుడు, పాండవ పక్షం లో సర్వ సైన్యాధి పతిగా సైనిక వ్యూహాన్ని ఏర్పాటు చేసాడు. దుర్యోధనుడు ఈ విధంగా, గతంలో గురువు గారి కనికరమే ప్రస్తుత ఇబ్బంది కి దారి తీసింది అని భావిస్తూ, ఇకనైనా ద్రోణాచార్యుడు ఇంకా కనికరం చూపించకుండా పాండవులతో యుద్ధం చేయాలని సూచిస్తున్నాడు."
1,4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि।

युयुधानो विराटश्च द्रुपदश्च महारथः।।1.4।।","రాబోయే పెను విపత్తు భయానికి, పాండవులు సమీకరించిన సైన్యం, ఉన్న దాని కన్నా చాలా ఎక్కువగా అనిపిస్తోంది, దుర్యోధనుడికి. తన ఆందోళనని వ్యక్తం చేస్తూ, పాండవుల  పక్షంలోనున్న మహారథుల (పదివేల సాధారణ యోధుల బలంతో సమానమైన యోధులు) ను చూపాడు.  పాండవ పక్షం లో వున్న గొప్ప నాయకులను దుర్యోధనుడు పేర్కొన్నాడు. వీరందరూ భీమార్జునులతో సమానమైన యోధులు మరియు యుద్ధంలో గట్టి పోటీ ఇచ్చేవారే."
1,5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्।

पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः।।1.5।।","రాబోయే పెను విపత్తు భయానికి, పాండవులు సమీకరించిన సైన్యం, ఉన్న దాని కన్నా చాలా ఎక్కువగా అనిపిస్తోంది, దుర్యోధనుడికి. తన ఆందోళనని వ్యక్తం చేస్తూ, పాండవుల  పక్షంలోనున్న మహారథుల (పదివేల సాధారణ యోధుల బలంతో సమానమైన యోధులు) ను చూపాడు.  పాండవ పక్షం లో వున్న గొప్ప నాయకులను దుర్యోధనుడు పేర్కొన్నాడు. వీరందరూ భీమార్జునులతో సమానమైన యోధులు మరియు యుద్ధంలో గట్టి పోటీ ఇచ్చేవారే."
1,6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्।

सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः।।1.6।।","రాబోయే పెను విపత్తు భయానికి, పాండవులు సమీకరించిన సైన్యం, ఉన్న దాని కన్నా చాలా ఎక్కువగా అనిపిస్తోంది, దుర్యోధనుడికి. తన ఆందోళనని వ్యక్తం చేస్తూ, పాండవుల  పక్షంలోనున్న మహారథుల (పదివేల సాధారణ యోధుల బలంతో సమానమైన యోధులు) ను చూపాడు.  పాండవ పక్షం లో వున్న గొప్ప నాయకులను దుర్యోధనుడు పేర్కొన్నాడు. వీరందరూ భీమార్జునులతో సమానమైన యోధులు మరియు యుద్ధంలో గట్టి పోటీ ఇచ్చేవారే."
1,7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम।

नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते।।1.7।।","దుర్యోధనుడు, కౌరవ సైన్యాధ్యక్షుడైన ద్రోణాచార్యుడిని ""ద్విజోత్తమ"" (బ్రాహ్మణులలో ఉత్తముడైన వాడు) అని సంభోధించాడు. అతను ఉద్దేశపూర్వకంగా ఆ పదాన్ని వాడాడు. నిజానికి ద్రోణాచార్యుడు వృత్తి రీత్యా యోధుడు కాడు, సైనిక విద్య ని నేర్పించే గురువు మాత్రమే. ఒక కపట నాయకుడి లాగా దుర్యోధనుడు తన గురువుగారి విధేయత పట్లనే సిగ్గుమాలిన సందేహాలను కలిగిఉన్నాడు.  దుర్యోధనుడి మాటల్లో ఉన్న గూడార్థం ఏమిటంటే, ఒక వేళ ద్రోణాచార్యుడు ధైర్యవంతంగా పోరాడక పోతే అతను దుర్యోధనుడి రాజ మందిరంలో భోజనానికి ఆశపడే సామాన్య బ్రాహ్మణుడు మాత్రమే అవుతాడు అని.   ఈ విధంగా మాట్లాడిన దుర్యోధనుడు, తన స్వంత ఉత్సాహాన్ని తన యొక్క గురువు గారి యొక్క ఉత్సాహాన్ని పెంచటానికి తన పక్షం లో వున్న మహా యోధుల గురించి పేర్కొనటం మొదలు పెట్టాడు."
1,10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्।

पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्।।1.10।।","దుర్యోధనుడి ప్రగల్భాలు సొంత గొప్పలు చెప్పుకునేవాడికి సాధారణమే. గొప్పలకు పోయేవారు, అంత్య  కాలం సమీపించినప్పుడు, పరిస్థితిని నిజాయితీతో అంచనావేయకుండా అహంకారంతో ప్రగల్భాలు పలుకుతారు. భీష్ముడిచే రక్షింపబడుచున్న తనసైన్యం అపరిమితమైనది అన్నప్పుడే దుర్యోధనుడి దౌర్భాగ్యం తెలిసిపోతోంది.   భీష్మపితామహుడు కౌరవ పక్షానికి సర్వసైన్యాధ్యక్షుడు. తన మరణ సమయాన్ని తానే ఎంచుకునే వరం కలిగినవాడు కాబట్టి అతన్ని ఓడించటం చాలా కష్టం. పాండవపక్షం వైపు సైన్యాన్ని దుర్యోధనుడి బద్ధ శత్రువు అయిన భీముడు పరిరక్షిస్తున్నాడు. ఈ విధంగా దుర్యోధనుడు,  భీష్ముడి సామర్ధ్యాన్ని భీముడి బలం తో పోల్చాడు. కానీ, భీష్ముడు కౌరవులకి, పాండవులకీ కూడా పితామహుడే, ఇరు పక్షాల క్షేమం కోరేవాడే. పాండవులపై అతనికి (భీష్ముడికి) వున్న ప్రేమ, తనను మనస్పూర్తిగా యుద్ధం చేయనివ్వదు. సాక్షాత్తు శ్రీ కృష్ణ పరమాత్మ వున్న ఈ పవిత్రయుద్ధం లో,  భూమి మీద ఉన్న ఏ శక్తి కూడా అధర్మ పక్షానికి గెలుపుని సాధించలేదు, అని భీష్ముడికి తెలుసు. కానీ, హస్తినాపుర వాసులకి, కౌరవులపట్ల తనకున్న నైతిక నిబద్ధత కారణంగా, భీష్ముడు, పాండవులతో  ప్రతిపక్షంలో యుద్ధం చేయటానికి నిశ్చయించాడు. ఈ నిర్ణయం భీష్ముడి నిగూఢమైన వ్యక్తిత్వాన్ని తెలుపుతోంది."
1,11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः।

भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि।।1.11।।","శత్రువులకు అసాధ్యుడైన భీష్ముడిని, తన సైన్యానికి స్ఫూర్తిగా, శక్తిగా పరిగణించాడు ధుర్యోధనుడు. కాబట్టి తన సేనా నాయకులని తమ తమ సైనిక వ్యూహ స్థానాలని కాపాడుకుంటూ, భీష్ముడిని పరిరక్షించమని కోరాడు."
1,12,"तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः।

सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्।।1.12।।","భీష్మ పితామహుడు తన మనవడి హృదయం లో ఉన్న భయాన్ని అర్థం చేసుకున్నాడు. సహజంగా అతని మీద వున్న వాత్సల్యం తో అతన్ని సంతోషపరచటానికి పెద్ద శబ్దంతో తన శంఖాన్ని పూరించాడు.  సాక్షాత్తు శ్రీ కృష్ణ పరమాత్మ యే అవతలి పక్షంలో ఉండటం వలన, దుర్యోధనుడి విజయానికి ఏ మాత్రం అవకాశం లేదని తెలిసినా, తన  ధర్మాన్ని నిర్వర్తిస్తూ, ఎంతటి బాధనైనా సహిస్తూ, పూర్తి స్థాయి లో యుద్ధం చేయటానికి ఏ మాత్రం సంకోచించనని దుర్యోధనుడికి సూచించాడు. అప్పటి యుద్ధ నియమాల ప్రకారం ఇది యుద్ధ ప్రారంభానికి సంకేతం."
